timestamp,location_lat,location_long
2017-07-14,48.989,20.597
2017-07-15,48.894,20.652
2017-07-16,48.947,20.729
2017-07-17,48.956,20.706
2017-07-18,48.937,20.77
2017-07-19,48.94,20.728
2017-07-20,48.947,20.728
2017-07-21,48.938,20.74
2017-07-22,48.927,20.746
2017-07-23,48.94,20.73
2017-07-24,48.966,20.612
2017-07-25,48.948,20.764
2017-07-26,48.945,20.727
2017-07-27,48.936,20.738
2017-07-28,48.945,20.726
2017-07-29,48.948,20.788
2017-07-30,48.945,20.746
2017-07-31,48.936,20.761
2017-08-01,48.946,20.73
2017-08-02,48.944,20.712
2017-08-03,48.946,20.73
2017-08-04,48.95,20.712
2017-08-05,48.945,20.733
2017-08-06,48.929,20.762
2017-08-07,48.979,20.773
2017-08-08,48.966,20.781
2017-08-09,48.943,20.734
2017-08-10,48.94,20.726
2017-08-11,48.946,20.736
2017-08-12,48.968,20.737
2017-08-13,48.986,20.871
2017-08-14,48.949,20.723
2017-08-15,48.941,20.734
2017-08-16,48.946,20.738
2017-08-17,48.938,20.766
2017-08-18,48.947,20.722
2017-08-19,48.309,21.15
2017-08-20,48.317,21.073
2017-08-21,48.258,21.228
2017-08-22,46.887,20.628
2017-08-23,46.928,20.663
2017-08-24,46.863,20.683
2017-08-25,46.876,20.717
2017-08-26,46.863,20.742
2017-08-27,46.865,20.744
2017-08-28,46.833,20.774
2017-08-29,46.892,20.557
2017-08-30,46.872,20.665
2017-08-31,46.911,20.698
2017-09-01,46.852,20.746
2017-09-02,46.871,20.774
2017-09-03,46.868,20.743
2017-09-04,46.87,20.683
2017-09-05,46.861,20.762
2017-09-06,46.959,20.84
2017-09-07,46.888,20.687
2017-09-08,46.856,20.699
2017-09-09,46.852,20.763
2017-09-10,46.86,20.772
2017-09-11,46.857,20.765
2017-09-12,46.857,20.772
2017-09-13,46.941,20.758
2017-09-14,46.824,20.927
2017-09-15,46.854,20.751
2017-09-16,44.538,19.65
2017-09-17,42.955,20.819
2017-09-18,39.583,22.101
2017-09-19,37.776,22.799
2017-09-20,37.044,23.995
