timestamp,location_long,location_lat
2016-07-15,15.969,41.17
2016-07-16,15.916,41.224
2016-07-18,15.727,41.136
2016-07-19,15.921,41.226
2016-07-20,15.898,41.258
2016-07-21,15.928,41.23
2016-07-22,15.921,41.222
2016-07-23,15.81,41.226
2016-08-09,15.924,41.237
2016-08-11,15.923,41.224
2016-08-14,15.897,41.299
2016-08-16,16.214,41.143
2016-08-18,15.892,41.236
2016-08-20,15.91,41.236
2016-08-23,15.893,41.228
2016-08-25,15.053,41.53
2016-08-27,15.934,41.24
2016-08-29,15.924,41.234
2016-09-01,15.919,41.241
2016-09-03,15.957,41.221
2016-09-05,15.905,41.224
2016-09-07,15.981,41.257
2016-09-09,15.927,41.227
2016-09-10,15.905,41.224
2016-09-12,15.925,41.224
2016-09-14,15.931,41.226
2016-09-16,13.718,32.425
2016-09-18,12.612,30.022
2016-09-19,13.98,29.41
2016-09-21,14.32,32.315
2016-09-23,14.324,32.52
2016-09-26,14.3,32.524
2016-09-28,14.309,32.516
2016-09-30,14.322,32.519
2016-10-02,14.325,32.523
2016-10-04,12.876,29.688
2016-10-05,12.183,28.586
2016-10-07,8.695,25.817
2016-10-09,4.039,17.83
2016-10-11,3.491,16.477
2016-10-12,3.448,16.454
2016-10-14,3.436,16.476
2016-10-16,3.452,16.46
2016-10-18,3.007,15.605
2016-10-20,3.003,15.611
2016-10-22,2.819,15.46
2016-10-23,2.776,15.35
2016-10-25,2.653,15.121
2016-10-27,2.725,15.143
2016-10-29,2.743,15.133
2016-10-31,2.729,15.134
2016-11-01,2.74,15.13
2016-11-03,2.753,15.134
2016-11-05,2.777,15.138
2016-11-07,2.86,12.972
2016-11-09,2.848,12.992
2016-11-10,2.865,12.969
2016-11-12,4.209,11.932
2016-11-14,5.213,12.217
2016-11-16,6.156,12.457
2016-11-18,6.161,12.458
2016-11-19,6.168,12.457
2016-11-21,6.18,12.45
2016-11-23,6.19,12.432
2016-11-25,6.162,12.445
2016-11-27,6.168,12.459
2016-11-28,6.164,12.459
2016-11-30,6.197,12.511
2016-12-02,6.164,12.452
2016-12-04,6.182,12.453
2016-12-06,6.156,12.452
2016-12-07,6.163,12.452
2016-12-09,6.181,12.458
2016-12-11,6.22,12.461
2016-12-13,6.166,12.469
2016-12-15,6.168,12.463
2016-12-18,6.18,12.461
2016-12-20,6.167,12.451
2016-12-22,6.178,12.465
2016-12-24,6.161,12.464
2016-12-27,6.107,12.439
2016-12-29,6.192,12.429
2016-12-31,6.206,12.46
2017-01-02,6.215,12.458
2017-01-03,6.22,12.466
2017-01-05,6.24,12.45
2017-01-07,6.207,12.466
2017-01-09,6.231,12.465
2017-01-11,6.209,12.454
2017-01-12,6.217,12.46
2017-01-14,6.215,12.469
2017-01-16,6.212,12.455
2017-01-18,6.216,12.461
2017-01-20,6.222,12.463
2017-01-21,6.219,12.461
2017-01-23,6.24,12.472
2017-01-25,6.198,12.466
